iter	Passed	Remaining
640	3631	2033
641	3635	2027
642	3639	2020
643	3644	2014
644	3649	2008
645	3655	2003
646	3660	1996
647	3665	1990
648	3669	1984
649	3673	1978
650	3679	1972
651	3683	1966
652	3687	1959
653	3693	1953
654	3697	1947
655	3701	1940
656	3707	1935
657	3712	1929
658	3717	1923
659	3722	1917
660	3727	1911
661	3731	1905
662	3735	1898
663	3741	1893
664	3747	1887
665	3753	1882
666	3758	1876
667	3763	1870
668	3768	1864
669	3773	1858
670	3778	1852
671	3783	1846
672	3789	1841
673	3794	1835
674	3799	1829
675	3805	1823
676	3809	1817
677	3813	1811
678	3818	1805
679	3823	1799
680	3827	1793
681	3831	1786
682	3836	1780
683	3841	1774
684	3845	1768
685	3849	1762
686	3854	1756
687	3860	1750
688	3865	1744
689	3870	1738
690	3874	1732
691	3879	1726
692	3884	1720
693	3889	1714
694	3893	1708
695	3897	1702
696	3902	1696
697	3906	1690
698	3910	1684
699	3915	1677
700	3919	1671
701	3924	1665
702	3928	1659
703	3933	1653
704	3937	1647
705	3941	1641
706	3945	1635
707	3950	1629
708	3954	1623
709	3959	1617
710	3966	1612
711	3971	1606
712	3976	1600
713	3981	1594
714	3986	1588
715	3990	1582
716	3996	1577
717	4001	1571
718	4006	1565
719	4010	1559
720	4015	1553
721	4019	1547
722	4023	1541
723	4028	1535
724	4032	1529
725	4037	1523
726	4041	1517
727	4047	1512
728	4052	1506
729	4057	1500
730	4062	1495
731	4067	1489
732	4071	1483
733	4076	1477
734	4080	1471
735	4085	1465
736	4089	1459
737	4094	1453
738	4098	1447
739	4102	1441
740	4107	1435
741	4112	1429
742	4115	1423
743	4119	1417
744	4125	1411
745	4130	1406
746	4134	1400
747	4139	1394
748	4143	1388
749	4147	1382
750	4151	1376
751	4156	1370
752	4161	1365
753	4168	1359
754	4178	1356
755	4184	1350
756	4193	1346
757	4208	1343
758	4219	1339
759	4236	1337
760	4246	1333
761	4260	1330
762	4276	1328
763	4289	1325
764	4306	1322
765	4314	1317
766	4330	1315
767	4344	1312
768	4358	1309
769	4377	1307
770	4386	1302
771	4395	1298
772	4409	1295
773	4421	1290
774	4427	1285
775	4440	1281
776	4446	1276
777	4458	1272
778	4469	1267
779	4475	1262
780	4484	1257
781	4490	1251
782	4500	1247
783	4506	1241
784	4516	1237
785	4523	1231
786	4532	1226
787	4538	1220
788	4544	1215
789	4550	1209
790	4555	1203
791	4562	1198
792	4567	1192
793	4571	1186
794	4578	1180
795	4582	1174
796	4588	1168
797	4593	1162
798	4598	1156
799	4602	1150
800	4607	1144
801	4612	1138
802	4618	1133
803	4625	1127
804	4629	1121
805	4634	1115
806	4639	1109
807	4644	1103
808	4648	1097
809	4653	1091
810	4658	1085
811	4663	1079
812	4667	1073
813	4672	1067
814	4678	1061
815	4683	1056
816	4689	1050
817	4693	1044
818	4697	1038
819	4701	1032
820	4707	1026
821	4712	1020
822	4716	1014
823	4722	1008
824	4726	1002
825	4732	996
826	4738	991
827	4743	985
828	4747	979
829	4755	973
830	4760	968
831	4765	962
832	4772	956
833	4777	950
834	4781	944
835	4787	939
836	4791	933
837	4795	927
838	4801	921
839	4806	915
840	4810	909
841	4816	903
842	4821	897
843	4826	892
844	4832	886
845	4837	880
846	4841	874
847	4846	868
848	4850	862
849	4855	856
850	4859	850
851	4865	845
852	4869	839
853	4873	833
854	4878	827
855	4883	821
856	4887	815
857	4891	809
858	4897	803
859	4902	798
860	4906	792
861	4913	786
862	4917	780
863	4922	774
864	4929	769
865	4933	763
866	4938	757
867	4945	752
868	4950	746
869	4954	740
870	4961	734
871	4966	729
872	4970	723
873	4976	717
874	4981	711
875	4985	705
876	4991	700
877	4995	694
878	5000	688
879	5004	682
880	5010	676
881	5016	671
882	5020	665
883	5027	659
884	5031	653
885	5036	648
886	5042	642
887	5046	636
888	5050	630
889	5056	624
890	5060	619
891	5064	613
892	5068	607
893	5074	601
894	5078	595
895	5083	590
896	5088	584
897	5093	578
898	5097	572
899	5102	566
900	5106	561
901	5111	555
902	5115	549
903	5121	543
904	5125	538
905	5130	532
906	5137	526
907	5142	521
908	5147	515
909	5154	509
910	5159	504
911	5163	498
912	5169	492
913	5173	486
914	5177	481
915	5183	475
916	5188	469
917	5192	463
918	5197	458
919	5211	453
920	5221	447
921	5228	442
922	5236	436
923	5241	431
924	5247	425
925	5251	419
926	5256	413
927	5260	408
928	5266	402
929	5271	396
930	5275	390
931	5281	385
932	5285	379
933	5289	373
934	5294	368
935	5299	362
936	5304	356
937	5308	350
938	5314	345
939	5319	339
940	5324	333
941	5332	328
942	5336	322
943	5341	316
944	5346	311
945	5350	305
946	5354	299
947	5360	294
948	5365	288
949	5369	282
950	5374	276
951	5379	271
952	5383	265
953	5387	259
954	5392	254
955	5396	248
956	5400	242
957	5407	237
958	5417	231
959	5426	226
960	5432	220
961	5442	214
962	5446	209
963	5451	203
964	5457	197
965	5462	192
966	5466	186
967	5472	180
968	5476	175
969	5481	169
970	5486	163
971	5490	158
972	5495	152
973	5499	146
974	5505	141
975	5509	135
976	5513	129
977	5518	124
978	5523	118
979	5530	112
980	5538	107
981	5544	101
982	5551	96
983	5558	90
984	5563	84
985	5569	79
986	5573	73
987	5578	67
988	5584	62
989	5588	56
990	5593	50
991	5598	45
992	5603	39
993	5608	33
994	5613	28
995	5618	22
996	5623	16
997	5627	11
998	5634	5
999	5638	0
