,distance
906,6980
907,5868
908,8608
909,5524
910,5659
911,14446
912,3989
913,3989
914,14446
915,7633
916,5524
917,6624
918,7134
919,7633
920,9091
921,5868
922,5921
923,7633
924,14446
925,7633
926,7633
927,4961
928,6074
929,3989
930,6074
931,6339
932,6339
933,6906
934,7134
935,6980
936,7633
937,8608
938,8608
939,9091
940,7633
941,7633
942,5168
943,5168
944,9091
945,5168
946,6624
947,6624
948,6074
949,6980
950,7633
951,7134
952,6906
953,14446
954,5659
955,9091
956,5168
957,9091
958,5659
959,6980
960,7633
961,6906
962,5921
963,5921
964,9091
965,9091
966,9091
967,9091
968,6906
969,10928
970,7464
971,9091
972,5921
973,6906
974,5008
975,6624
976,8163
977,9091
978,6980
979,6624
980,5524
981,4338
982,6624
983,6624
984,6906
985,5008
986,6624
987,6906
988,6906
989,7633
990,6906
991,6980
992,6980
993,7633
994,6906
995,9091
996,9091
997,5009
998,2162
999,9091
1000,9091
1001,7633
1002,7633
1003,6906
1004,6339
1005,7633
1006,9091
1007,2162
1008,6980
1009,5524
1010,6980
1011,7633
1012,5659
1013,5009
1014,6980
1015,6339
1016,14325
1017,14446
1018,6339
1019,7633
1020,5659
1021,7633
1022,14446
1023,5659
1024,7633
1025,5524
1026,14446
1027,7633
1028,5659
1029,5524
1030,7467
1031,14446
1032,6624
1033,6980
1034,6906
1035,5659
1036,6837
1037,6980
1038,6906
1039,5524
1040,6906
1041,5921
1042,7633
1043,7633
1044,5168
1045,7633
1046,7633
1047,6906
1048,6980
1049,5168
1050,14446
1051,6624
1052,9091
1053,5009
1054,5524
1055,5524
1056,6906
1057,5659
1058,6624
1059,6624
1060,8608
1061,5524
1062,5524
1063,5091
1064,5524
1065,6906
1066,5168
1067,14446
1068,7633
1069,5524
1070,5524
1071,7633
1072,5168
1073,5168
1074,5168
1075,5921
1076,5168
1077,6624
1078,5168
1079,14446
1080,7633
1081,14446
1082,4961
1083,6906
1084,6624
1085,4961
1086,7633
1087,14446
1088,14446
1089,4961
1090,5524
1091,6980
1092,9091
1093,9091
1094,5524
1095,6906
1096,6624
1097,6624
1098,7633
1099,5168
1100,5168
1101,9091
1102,3989
1103,14446
1104,6339
1105,6906
1106,9091
1107,9091
1108,6906
1109,5524
1110,9091
1111,4961
1112,6906
1113,9091
1114,9091
1115,7633
1116,7134
1117,6624
1118,6624
1119,5524
1120,5659
1121,7134
1122,6906
1123,6624
1124,6624
1125,7633
1126,5168
1127,16167
1128,16167
1129,9091
1130,9091
1131,9091
1132,6624
1133,9091
1134,9091
1135,9091
1136,6980
1137,6906
1138,9091
1139,5659
1140,7633
1141,6980
1142,6980
1143,6980
1144,5659
1145,6906
1146,5659
1147,6837
1148,6624
1149,5659
1150,5659
1151,6624
1152,6624
1153,5009
1154,5009
1155,6980
1156,6980
1157,6906
1158,9091
1159,9091
1160,9091
1161,6980
1162,4338
1163,6906
1164,6906
1165,9091
1166,8465
1167,6624
1168,6906
1169,7633
1170,6980
1171,9091
1172,9091
1173,9091
1174,7877
1175,6906
1176,6906
1177,7633
1178,7633
1179,14446
1180,6980
1181,5868
1182,5921
1183,7633
1184,9091
1185,6906
1186,9091
1187,9091
1188,5524
1189,9091
1190,6980
1191,6980
1192,14446
1193,6906
1194,7877
1195,7633
1196,5168
1197,5168
1198,6906
1199,7633
1200,6980
1201,9091
1202,9091
1203,7633
1204,14446
1205,7633
1206,6906
1207,7633
1208,14446
1209,9091
1210,6980
1211,5659
1212,5009
1213,5524
1214,14446
1215,6624
1216,5659
1217,6980
1218,7633
1219,14446
1220,7633
1221,14446
1222,14446
1223,6980
1224,5524
1225,7467
1226,14446
1227,7633
1228,7134
1229,7633
1230,14446
1231,5921
1232,7134
1233,8608
1234,5921
1235,5659
1236,6624
1237,9091
1238,5168
1239,5168
1240,7134
1241,7633
1242,14446
1243,14446
1244,14325
1245,7633
1246,5659
1247,14446
1248,14446
1249,7633
1250,5168
1251,7633
1252,2162
1253,7633
1254,9091
1255,9091
1256,6339
1257,9091
1258,7633
1259,7633
1260,5008
1261,6624
1262,9091
1263,9091
1264,14446
1265,6074
1266,5168
1267,14446
1268,6624
1269,9091
1270,8465
1271,6624
1272,7633
1273,6906
1274,7633
1275,6980
1276,9091
1277,5524
1278,5524
1279,5524
1280,6339
1281,7633
1282,7633
1283,14446
1284,14446
1285,6624
1286,6906
1287,9091
1288,5524
1289,6906
1290,6980
1291,3989
1292,9091
1293,5690
1294,7633
1295,6906
1296,14446
1297,5524
1298,5524
1299,9091
1300,9091
1301,6906
1302,7633
1303,6624
1304,9091
1305,9091
1306,5921
1307,9091
1308,9091
1309,9091
1310,9091
1311,7633
1312,7633
1313,8163
1314,6624
1315,7633
1316,7633
1317,7633
1318,6980
